InternalName,iBinary,ExternalName
Timestamp,FALSE,Timestamp
Country,FALSE,Please enter the name of your country.
Institution,FALSE,Please enter the name of your institution.
Consent,FALSE,"I hereby agree to participate in this survey, titled: Survey of women’s participation, access to leadership positions and barriers in deep-sea research and related activities from LDCs, LLDCs and SIDS.I understand that I am participating freely and without being forced in any way to do so. I also understand that I can stop completing the questionnaire at any time and withdraw as a participant. Although the results will be reported by the International Seabed Authority, my name will be treated as confidential. I have received the details of a person to contact should I need to voice any issues, which may arise from the survey. (CarolAnne Black at carolanne@carolanneblack.com and copy Sonakshi Mishra at smishra@isa.org.jm). If you agree with all the above, please select “yes” and proceed:"
PersonalImportanceOS,FALSE,"How important do you think ocean science, deep-sea research and related disciplines and activities are for you?"
PersonalEngagement,FALSE,"Why do you think engagement in ocean science, deep-sea research and related disciplines and activities is important for you?"
PersonalInvestment,FALSE,"In this context, how important is investment and engagement in ocean science and in particular, deep sea related research for you?"
PersonalImportanceGender,FALSE,"How important do you think it is to put in place measures and initiatives to support gender equality and women’s participation in emerging fields such as ocean science, deep-sea research and related disciplines and activities for you?"
iStudyOrEmployed,TRUE,"Are you studying or employed in ocean science, deep-sea research and related disciplines and activities? Please refer to definition in guidance document for definition."
Field,FALSE,Please select the field that most closely describes your field of study or work....10
FieldSub,FALSE,Please select the field that most closely describes your field of study or work....11
Gender,FALSE,What is your gender?
Age,FALSE,What is your age?
StudyReasons,FALSE,"What made you decide to study and/or work in the field of ocean science, deep-sea research and related disciplines and activities? Mark all that apply."
PeopleInfluenced,FALSE,"People play an important role in shaping one’s career. These individuals may have supported, trained, provided advice or endorsed you in your career development. Who most influenced your choice of career? Mark all that apply."
Helped_Grant,FALSE,[Obtaining a research grant or stipend]
Helped_Research,FALSE,[Conducting research abroad]
Helped_Papers,FALSE,[Writing academic papers or books]
Helped_Position,FALSE,[Obtaining a position as a teaching or research assistant]
Helped_Programme,FALSE,[Being accepted into an advanced degree programme]
Helped_Apprenticeship,FALSE,[Obtaining an apprenticeship or internship]
Helped_Employment,FALSE,[Obtaining employment in deep-sea research or related activities]
Helped_Study,FALSE,[Being accepted into a program of study]
Helped_SupportEducation,FALSE,[Support in applying for an education degree/program]
CurrentSituation,FALSE,Which option best describes your current situation?
Top5Challenges,FALSE,Please list the top five challenges you've faced to succeed in your field.
CurrentAppointments,FALSE,Do you currently hold any academic appointments in this country or abroad?
LevelSeniority,FALSE,What is your level of seniority in this position?
CurrentPosition,FALSE,What is the title of your current position?
Contract_Permanent,FALSE,Your current contract is? [Permanent]
Contract_Temporary,FALSE,Your current contract is? [Temporary]
Contract_Indeterminate,FALSE,Your current contract is? [Indeterminate]
CurrentEmployerYears,FALSE,How many years have your been with your current employer?
iCurrentlySeekingNewPosition,TRUE,Are you currently seeking a new work position?
NewPositionReason,FALSE,What's the reason you are seeking a different work position?
iLeftJobInField,TRUE,Have you ever left a job in your field?
ReasonsForLeavingJob,FALSE,What was/were the reason(s) for leaving this position? Mark all that apply.
ConferencesNational,FALSE,"Do you consider that you have opportunities to participate in conferences/workshops outside your workplace, either nationally and internationally? [Nationally]"
ConferencesInternational,FALSE,"Do you consider that you have opportunities to participate in conferences/workshops outside your workplace, either nationally and internationally? [Internationally]"
ReasonsForNotEnoughOppsConferences,FALSE,"If relevant, what makes you consider you do not have enough opportunities? Mark all that apply."
EmploymentSatisfaction_SalaryBenefits,FALSE,Please rate your satisfaction regarding the following items in your current employment situation. [Salary and Benefits]
EmploymentSatisfaction_JobSecurity,FALSE,Please rate your satisfaction regarding the following items in your current employment situation. [Job Security]
EmploymentSatisfaction_LocationConditions,FALSE,Please rate your satisfaction regarding the following items in your current employment situation. [Job Location / Working Conditions]
EmploymentSatisfaction_WorkLifeBalance,FALSE,Please rate your satisfaction regarding the following items in your current employment situation. [Work-life balance]
EmploymentSatisfaction_PD,FALSE,Please rate your satisfaction regarding the following items in your current employment situation. [Opportunities for professional development and promotion]
EmploymentSatisfaction_Mobility,FALSE,Please rate your satisfaction regarding the following items in your current employment situation. [International mobility opportunities]
