"","V1"
"Timestamp",169
"Country",169
"Institution",169
"Consent",169
"PersonalImportanceOS",168
"PersonalEngagement",168
"PersonalInvestment",168
"PersonalImportanceGender",168
"iStudyOrEmployed",168
"Field",117
"FieldSub",115
"Gender",117
"Age",117
"StudyReasons",117
"PeopleInfluenced",116
"Helped_Grant",71
"Helped_Research",61
"Helped_Papers",88
"Helped_Position",67
"Helped_Programme",80
"Helped_Apprenticeship",70
"Helped_Employment",67
"Helped_Study",85
"Helped_SupportEducation",95
"CurrentSituation",117
"Top5Challenges",87
"CurrentAppointments",107
"LevelSeniority",26
"CurrentPosition",104
"Contract_Permanent",78
"Contract_Temporary",24
"Contract_Indeterminate",7
"CurrentEmployerYears",107
"iCurrentlySeekingNewPosition",107
"NewPositionReason",28
"iLeftJobInField",107
"ReasonsForLeavingJob",28
"ConferencesNational",28
"ConferencesInternational",28
"ReasonsForNotEnoughOppsConferences",18
"EmploymentSatisfaction_SalaryBenefits",28
"EmploymentSatisfaction_JobSecurity",28
"EmploymentSatisfaction_LocationConditions",28
"EmploymentSatisfaction_WorkLifeBalance",28
"EmploymentSatisfaction_PD",28
"EmploymentSatisfaction_Mobility",28
"EmploymentSatisfaction_Challenges",27
"EmploymentSatisfaction_ResponsibilityIndependence",28
"EmploymentSatisfaction_Contribution",28
"EmploymentSatisfaction_EquitableTreatment",28
"EmploymentSatisfaction_Relationships",28
"EmploymentSatisfaction_GenderInfra",28
"PoliciesInOrg_Gender",28
"PoliciesInOrg_Conduct",28
"PoliciesInOrg_Complaints",28
"OrgHavePolicies_Promotion",27
"OrgHavePolicies_EqualPay",27
"OrgHavePolicies_Harassment",27
"OrgHavePolicies_PD",27
"OrgHavePolicies_Mentoring",27
"OrgHavePolicies_Networking",27
"OrgHavePolicies_FlexibleHours",27
"OrgHavePolicies_PartTimeWork",26
"OrgHavePolicies_TeleworkWithPolicies",27
"OrgHavePolicies_TeleworkWithoutPolicies",26
"OrgHavePolicies_FamilyAssist",27
"OrgHavePolicies_ChildcareContrib",27
"OrgHavePolicies_ChildcarePerm",27
"OrgHavePolicies_ChildcareOccasional",26
"OrgHavePolicies_ParentalLeave",27
"OrgHavePolicies_HealthPlan",27
"OrgHavePolicies_SupportServ",27
"OrgHavePolicies_HouseholdSupp",27
"OrgHavePolicies_WorkLifeBalance",27
"OrgHavePolicies_Reentry",27
"iCareerBreak",107
"CareerBreakReason",18
"CareerBreakReturnChange",18
"DomesticArrangement",107
"iDependants",107
"ParentalLeave_NumAllowed",40
"ParentalLeave_NumTaken",39
"ParentalLeave_NumPartnerAllowed",38
"ParentalLeave_NumPartnerTaken",38
"ChildrenCaredForMethod",41
"iPartnerWorkingForMoney",41
"NumHrsHousehold_Shopping",103
"NumHrsHousehold_Food",103
"NumHrsHousehold_Laundry",104
"NumHrsHousehold_HouseMaintenance",104
"NumHrsHousehold_Gardening",102
"ReasonsTurnDownTravel",71
"iDiscrimAtWork",107
"NatureWorkDiscrim",47
"BasisWorkDiscrim",44
"HowAffectedCareer",35
"RecipientLeers",107
"GendersTreatedEquallyAtWork",107
"EthnicityTreatedEquallyAtWork",107
"iWomenMinorityOverlooked",107
"HarassmentGenderEth",107
"HarassmentGenderEthDetails",23
"PersonalHarassed",91
"ActivityFrequency_SciencePres",106
"ActivityFrequency_RadioTV",105
"ActivityFrequency_NewspaperMagazine",105
"iWomenSuccessfulAsMen",106
"iOSEquallySuitedGender",107
"AwareGenderPayGap",117
"TrainingSubsequentActivity",105
"MonthsUntilWork",94
"OSJobProspectsAssessment",106
"CareerProgressSupport",90
"CareerOpps",90
"CareerLeadership",105
"iPromoted",104
"NumPanelist5Years",93
"iManager",105
"PositionsHeld",106
"iCommitteeInvited",107
"iGoverningCouncil",107
"NumPubs_Articles",52
"NumPubs_Books",19
"NumPubs_Chapters",22
"NumPubs_PatentApps",13
"NumPubs_Patents",11
"iFundingApplied5Years",107
"Funding_PI_National",47
"Funding_PI_International",49
"Funding_Team_National",48
"Funding_Team_International",49
"Funding_PI_National_Awarded",45
"Funding_PI_International_Awarded",44
"Funding_Team_National_Awarded",45
"Funding_Team_International_Awarded",48
"GrantsResearchStay_National",41
"GrantsResearchStay_International",47
"GrantsAttendConf_National",43
"GrantsAttendConf_International",47
"AnnualEarnings",95
"Education",107
"FieldOfStudy",86
"iProgrammeNotCompleted",107
